,STATE_NAME,Attacks
0,Alabama,13
1,Alaska,1
2,California,247
3,Connecticut,5
4,Delaware,6
5,East coast,1
6,Florida,926
7,Georgia,13
8,Guam,1
9,Hawaii,248
10,Johnston Atoll,1
11,Kentucky,1
12,Louisiana,10
13,Maine,1
14,Maryland,7
15,Massachusetts,11
16,Midway Atoll,1
17,Mississippi,5
18,Missouri,1
19,New Jersey,45
20,New Mexico,1
21,New York,21
22,North Carolina,93
23,Oregon,28
24,Palmyra Atoll,2
25,Pennsylvania,1
26,Puerto Rico,14
27,Rhode Island,7
28,South Carolina,130
29,Texas,66
30,US Virgin Islands,5
31,Virginia,17
32,Wake Island,1
33,Washington,1
